method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate,trigger_fraction,zero_projection_trajectory
GOAL_AWARE_FINAL_PROJECTION,0,8,0.0,0.0,0.043319077611985474,1.1642945185741382e-07,0.004154400634765576,0.0,0.33089888529678346,2.655174902684147,0.8998526654381523,0.0490220714585865,49.02207145858651,1042.3379635553176,0.5492742844461409,1.8036444407258088,0.25620942999375984,0.04276409698650241,0.17769553401740268,0.018614947970490903,1.0,0.0,2.734421889796173,2.734421968460083,0.0,0.0,0.0
PLAIN_FM,0,9,0.0,0.0,0.07364178948492252,0.0,0.265439536833763,2.3151707649230957,0.43765586741901186,3.256729275238188,0.8856193737404882,0.046621832619168274,46.62183261916827,9462.503938171189,0.19171428829971937,1.3980998517975012,0.06814903998747468,0.04303094698116183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,9,0.0,0.0,0.10388442157324532,0.0,0.0,0.0,0.6282699016641019,2.2101175322965454,0.5673255828288568,0.024383555916804373,24.383555916804376,325.699669459301,0.32563539540371444,2.192858000567522,0.18399837601464242,0.04522235307376832,0.040772755979560316,0.03128581208875403,7.0,0.0,16.920453600862366,2.031235456466675,0.0,0.0,0.0
POV_L05_ALWAYS,0,9,0.0,0.0,0.048381895919814885,0.0,0.0,0.0936579704284668,0.42075391345936664,2.557878520256144,0.8108207634414345,0.024542745095433416,24.542745095433418,2627.6847589131457,0.33189438482762634,1.8991091718901107,1.377991852001287,0.04692151502240449,1.2537392700905912,0.1367964370874688,7.0,0.0,27.605235602071712,1.9179649353027344,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,9,0.0,0.0,0.048381895919814885,0.0,0.0,0.0936579704284668,0.42075391345936664,2.557878520256144,0.8108207634414345,0.024542745095433416,24.542745095433418,2627.6847589131457,0.33189438482762634,1.8991091718901107,1.3837663610465825,0.04720396100310609,1.2586259970557876,0.1367543010856025,7.0,0.0,27.605235602071712,1.9179649353027344,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,9,0.0,0.0,0.047225188328744436,0.0,0.040014695787429666,0.22091984748840332,0.4336221132766845,2.874288217544977,0.8276013695502092,0.030103045355563185,30.10304535556319,5024.745673361286,0.16682196595084436,1.5781863515157715,1.5532522929715924,0.04692690493538976,1.428924907988403,0.1546174772665836,7.0,0.0,26.531739016455244,0.8901798129081726,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,9,0.0,0.0,0.05750232141334448,0.0,0.0,0.0,0.4456852016826996,2.4338824416036235,0.8519666291582999,0.02720525645481897,27.205256454818972,484.66070613109036,0.4857158886758162,2.2020636374110816,0.16863896104041487,0.042674585012719035,0.09015489503508434,0.010308273951523006,1.0,0.0,2.605084983536486,2.6050851345062256,0.0,0.0,0.0
PLAIN_FM,0,10,0.0,0.0,0.05368686935653379,0.0,0.29797719087600694,1.0349345207214355,0.4259373115424244,3.2093802357701513,0.9072455304795978,0.03842669061557924,38.42669061557925,7829.268188754758,0.16294654301049677,1.3296472575301659,0.06834456499200314,0.04316193895647302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,10,0.0,0.0,0.09471259216692766,0.0,0.0003750738143919463,0.0,0.608493730174907,2.242997517123535,0.5931203954523794,0.02503354243795003,25.033542437950032,346.1152379402588,0.3134132272842899,2.176538578514669,0.18440642696805298,0.04507404798641801,0.040805627999361604,0.031326296855695546,7.0,0.0,16.483962545482427,1.8497449159622192,0.0,0.0,0.0
POV_L05_ALWAYS,0,10,0.0,0.0,0.03091878010731934,0.0,0.0,0.0,0.4329561527236314,2.7056748099006027,0.8090745823114214,0.025312017318703917,25.312017318703916,2854.7209277996867,0.29055892773444836,1.7273730677750376,1.4622595959808677,0.04689647495979443,1.3379647920373827,0.14350137492874637,7.0,0.0,26.626089125342222,1.5905556678771973,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,10,0.0,0.0,0.03091878010731934,0.0,0.0,0.0,0.4329561527236314,2.7056748099006027,0.8090745823114214,0.025312017318703917,25.312017318703916,2854.7209277996867,0.29055892773444836,1.7273730677750376,1.4674689400126226,0.04691763693699613,1.3430469930171967,0.1440044678747654,7.0,0.0,26.626089125342222,1.5905556678771973,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,10,0.0,0.0,0.0350650862297323,0.0,0.032741364502906656,0.0,0.4228652559540664,2.919877276948403,0.8519493453027184,0.026819029217670765,26.819029217670767,4453.88345686124,0.1612320503409441,1.4927974157683142,1.4731887970119715,0.04720842104870826,1.34789809002541,0.1465415809652768,7.0,0.0,20.661625597425225,0.7084692716598511,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,10,0.0,0.0,0.048136884772202446,0.0,0.0,0.0,0.4423355590115047,2.598574589783287,0.850993011032253,0.03469101959094256,34.69101959094257,635.3860023898277,0.5066935583251314,2.140631746256459,0.16885058698244393,0.04291419294895604,0.09003305301303044,0.010255524015519768,1.0,0.0,2.6301356364595896,2.6301355361938477,0.0,0.0,0.0
PLAIN_FM,0,11,0.0,0.0,0.06351668339826581,0.0,0.32583491172790513,0.6984424591064453,0.45304711640195483,3.1507387576604042,0.904358574415116,0.05065303451605152,50.65303451605152,11360.561937820377,0.11579828414958314,1.4353376534200826,0.06802533799782395,0.04289577103918418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,11,0.0,0.0,0.08888805131834651,0.0,0.0005324300765989776,0.0,0.602442790949168,2.229822265975803,0.593840631399317,0.024700466264447364,24.700466264447364,342.18282738558054,0.3117531464193733,2.1700940215613507,0.184231132036075,0.045137729961425066,0.040751225897111,0.03135329595534131,7.0,0.0,15.994192626289122,1.6227176189422607,0.0,0.0,0.0
