method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate
PLAIN_FM,0,11,0.0,0.0,0.06351668339826581,0.0,0.32583491172790513,0.6984424591064453,0.45304711640195483,3.1507387576604042,0.904358574415116,0.05065303451605152,50.65303451605152,11360.561937820377,0.11579828414958314,1.4353376534200826,0.07011437899200246,0.04381309205200523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,11,0.0,0.0,0.036306996053522764,0.0,0.0,0.0,0.45358019480056727,2.596297573561247,0.8133888413065937,0.03047326636887779,30.473266368877788,4430.164110988082,0.3036197628284837,1.9391651915963575,1.6040316880098544,0.04722893802681938,1.4758040701271966,0.15892882307525724,7.0,0.0,21.313449181677864,1.5111265182495117,0.0
YFLOW_MAIN_PORT,0,11,0.0,0.0,0.029261680019675718,0.0,0.0,0.0,0.43840282970091343,2.3439126224298668,0.7447553879884133,0.020521220588455426,20.521220588455424,335.23596684458175,0.3500160482302108,1.92354911766293,0.6502772150561213,0.0453575401334092,0.5540180670213886,0.05968389904592186,3.0,0.0,4.560426238539825,1.6918785572052002,0.0
GOAL_AWARE_FINAL_PROJECTION,0,11,0.0,0.0,0.047462348190807885,0.0,0.0,0.0,0.4466795526202241,2.1993234521103195,0.798312342953501,0.018016410535125343,18.016410535125342,320.7522750674763,0.5251025051499046,2.336306814612894,0.17438366898568347,0.04370360093889758,0.09326937596779317,0.010423299972899258,1.0,0.0,2.581210551320452,2.5812106132507324,0.0
PLAIN_FM,0,12,0.0,0.0,0.06492061496164274,0.0,0.264938187265396,0.1370382308959961,0.4369772954690768,3.212618717005563,0.8868910347527698,0.03327388574892051,33.27388574892051,6167.221060212552,0.16658328097464065,1.3945204352146594,0.07017120101954788,0.04376413184218109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,12,0.0,0.0,0.03537788110784515,0.0,0.0,0.0,0.43240615311541575,2.5222008811251664,0.7805891532751859,0.021138199024358817,21.13819902435882,2987.6606097779645,0.2784095227433083,1.8203453905839078,1.792937133985106,0.04756178398383781,1.664028488099575,0.17977191286627203,7.0,0.0,25.897678715428675,1.6087054014205933,0.0
YFLOW_MAIN_PORT,0,12,0.0,0.0,0.03654859514705036,0.0,0.0006108101844786162,0.0,0.411337523640371,2.5465112970791948,0.8038839719833915,0.030229417728424652,30.229417728424654,571.9194964141104,0.31940188054993773,1.8334300040483775,0.5568326580105349,0.045241307001560926,0.46051227702992037,0.049550985917449,3.0,0.0,4.611828601896414,1.7367560863494873,0.0
GOAL_AWARE_FINAL_PROJECTION,0,12,0.0,0.0,0.048419089203299695,0.0,0.0,0.0,0.45268814995874374,2.541279077111728,0.8426721236860465,0.030100828602264075,30.100828602264073,531.0725797615017,0.4517122017351449,2.0806372029662845,0.17664280597819015,0.04436232493026182,0.09445624600630254,0.010654326004441828,1.0,0.0,2.3750547038756737,2.3750545978546143,0.0
PLAIN_FM,0,13,0.0,0.0,0.07113294680114478,0.0,0.2159177825927734,1.4807653427124023,0.444095637404534,3.197275383910834,0.9065499056103867,0.04140993644571933,41.40993644571933,8083.3017318064485,0.14155669040120888,1.4305117283615716,0.07090934796724468,0.04431336605921388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,13,0.0,0.0,0.05244317534337799,0.0,0.0,0.0,0.45299723052396224,2.3571149087990726,0.7580701229436488,0.022098275581113727,22.098275581113725,3622.1641031604436,0.33179742583474786,1.9846703047343426,2.0621083049918525,0.04750880500068888,1.9335742690018378,0.20967398211359978,7.0,0.0,22.815545045077048,1.8257791996002197,0.0
YFLOW_MAIN_PORT,0,13,0.0,0.0,0.03543774787920556,0.0,0.0,0.0,0.4027213999384671,2.4973789301758353,0.8053440742830464,0.029368920600617097,29.368920600617102,558.2681994263411,0.32901714361920453,1.8387559382099028,0.6482217800221406,0.045307692140340805,0.5519403080106713,0.059030322008766234,3.0,0.0,5.417159840861114,1.6791768074035645,0.0
GOAL_AWARE_FINAL_PROJECTION,0,13,0.0,0.0,0.050796502718519335,0.0,0.0,0.0,0.458882116373775,2.468109027454425,0.8267455183585053,0.028514516687609757,28.514516687609756,507.9047513083093,0.48129901007150555,2.129821589050024,0.17437375901499763,0.0437972120125778,0.09308526199311018,0.01049714197870344,1.0,0.0,2.4761973025043447,2.4761972427368164,0.0
PLAIN_FM,0,14,0.0,0.0,0.0716337987047947,0.0,0.30351178016662583,0.907893180847168,0.44720908262723413,3.200276295355647,0.8849364252379804,0.04015102516718491,40.15102516718491,8266.04802365811,0.14987025576506852,1.437476800145645,0.07009883801219985,0.043873892980627716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,14,0.0,0.0,0.046646756976787426,0.0,0.01260415878295884,0.0,0.41770187263558134,2.613914488454566,0.8227642951210925,0.022128578715123914,22.12857871512392,2333.4592131651566,0.28924428333866603,1.8049280990897947,1.3281439910060726,0.04742555500706658,1.1997788110165857,0.13086888508405536,7.0,0.0,19.66890203676426,1.5293831825256348,0.0
YFLOW_MAIN_PORT,0,14,0.0,0.0,0.03603691139642845,0.0,0.0,0.0,0.44343416637401556,2.36067301137881,0.7372842979811184,0.020002152453939742,20.002152453939743,368.88586627171753,0.34160937315547796,1.8902173000097988,0.5559465299593285,0.045329519896768034,0.4597389081027359,0.04755389707861468,3.0,0.0,4.5087903660323985,1.8194911479949951,0.0
