method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
L05_NO_REPLACE,0,11,0.0,0.0,0.03826579621138894,0.0,0.0,0.0,0.44764919452980223,2.6807827521909293,0.7964333146469912,0.02444239012613525,24.442390126135248,3196.6023979358883,0.20636319352457033,1.6963222643800762,0.5859781929757446,0.04499399597989395,0.4634203939931467,0.050530631036963314,3.0,0.0,4.762229870719621,0.4634203939931467,0.9663266539573669,0.0
PLAIN_FM,0,12,0.0,0.0,0.06492061496164274,0.0,0.264938187265396,0.1370382308959961,0.4369772954690768,3.212618717005563,0.8868910347527698,0.03327388574892051,33.27388574892051,6167.221060212552,0.16658328097464065,1.3945204352146594,0.06913955201162025,0.04364851291757077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,12,0.0,0.0,0.03654859514705036,0.0,0.0006108101844786162,0.0,0.411337523640371,2.5465112970791948,0.8038839719833915,0.030229417728424652,30.229417728424654,571.9194964141104,0.31940188054993773,1.8334300040483775,0.5826159240095876,0.04428249702323228,0.4607472830102779,0.05003740906249732,3.0,0.0,4.611828601896414,0.4607472830102779,1.7367560863494873,0.0
L1_NO_REPLACE,0,12,0.0,0.0,0.031810713506336685,0.0,0.0,0.0,0.4286045739567715,2.432834687866815,0.7596091999732445,0.023326532188933435,23.326532188933438,438.1323136384285,0.32975748456682263,1.8336736840902002,0.49008281604619697,0.044940303021576256,0.36791264498606324,0.039736088016070426,3.0,0.0,4.820350046517836,0.36791264498606324,1.8184298276901245,0.0
L05_REPLACE,0,12,0.0,0.0,0.0308018774950578,0.0,0.0,0.0,0.4035199196792776,2.545079071369654,0.8094194956493331,0.029360218585733247,29.36021858573325,560.5003346135035,0.32243958023889335,1.8115692915873003,0.581814902019687,0.0450268269632943,0.45924621302401647,0.048636882042046636,3.0,0.0,4.921465040724444,0.45924621302401647,1.7513319253921509,0.0
L05_NO_REPLACE,0,12,0.0,0.0,0.039446539376158746,0.0,0.054277938270568704,0.0,0.4159564675737758,2.816041453116092,0.8231787019280205,0.02197479551005399,21.97479551005399,1794.1398553474428,0.17575237269084965,1.5918546907604953,0.58270657598041,0.04488505993504077,0.460272619035095,0.04871202301001176,3.0,0.0,4.921465040724444,0.460272619035095,0.9693694114685059,0.0
PLAIN_FM,0,13,0.0,0.0,0.07113294680114478,0.0,0.2159177825927734,1.4807653427124023,0.444095637404534,3.197275383910834,0.9065499056103867,0.04140993644571933,41.40993644571933,8083.3017318064485,0.14155669040120888,1.4305117283615716,0.06928491604048759,0.043659210903570056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,13,0.0,0.0,0.03543774787920556,0.0,0.0,0.0,0.4027213999384671,2.4973789301758353,0.8053440742830464,0.029368920600617097,29.368920600617102,558.2681994263411,0.32901714361920453,1.8387559382099028,0.6764356949715875,0.044643347966484725,0.5538386550033465,0.05946442694403231,3.0,0.0,5.417159840861114,0.5538386550033465,1.6791768074035645,0.0
L1_NO_REPLACE,0,13,0.0,0.0,0.03648241143948003,0.0,0.0,0.0,0.4203115620717854,2.4746752460284096,0.790693429454023,0.027501012263165786,27.501012263165787,530.4061219204501,0.3315828237064089,1.885905040921907,0.6773576979758218,0.04507122712675482,0.5549450840335339,0.06172148697078228,3.0,0.0,4.579376649867545,0.5549450840335339,1.698630690574646,0.0
L05_REPLACE,0,13,0.0,0.0,0.03421429902873932,0.0,0.001089137458801126,0.0,0.3845241705643783,2.6145580774980823,0.8362233659958004,0.03541631834558134,35.41631834558134,709.7656170821515,0.3220098564500449,1.802190438673191,0.7670565419830382,0.045169590041041374,0.6444367800140753,0.06963713292498142,3.0,0.0,4.849658021366652,0.6444367800140753,1.6058894395828247,0.0
L05_NO_REPLACE,0,13,0.0,0.0,0.05174939602394245,0.0,0.06080980758666987,0.0,0.4050032112931301,2.837836123797853,0.8420474863893795,0.027101803555566573,27.101803555566576,2247.215992721596,0.18492027900599095,1.6057486184268068,0.767737869056873,0.045056848030071706,0.6452290110173635,0.06964903400512412,3.0,0.0,4.849658021366652,0.6452290110173635,0.8944146037101746,0.0
PLAIN_FM,0,14,0.0,0.0,0.0716337987047947,0.0,0.30351178016662583,0.907893180847168,0.44720908262723413,3.200276295355647,0.8849364252379804,0.04015102516718491,40.15102516718491,8266.04802365811,0.14987025576506852,1.437476800145645,0.06901072803884745,0.043542526953388005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
