method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,safety_trigger_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
ADAPTIVE_ALLTIME_L05,1,1,0.0,0.0,0.03561318502916738,0.0,0.0,0.0,0.28587463117557915,1.7976134916578093,0.9837109827274034,0.021792790075748025,21.792790075748027,2571.2341814969454,0.23319000639158197,1.86897914197141,1.6171434489660896,0.04774121509399265,1.4848547299043275,0.1578291190089658,7.0,0.0,15.295971165895132,1.4848547299043275,0.02596514910692349,0.5926943421363831,0.0
PLAIN_FM,1,2,0.0,0.0,0.026455756501162553,0.0,0.0,0.05957603454589844,0.4793752044418321,2.226107579916338,1.1022791121549373,0.040185257094313795,40.1852570943138,7890.860343613406,0.10232347084512208,1.7751870256176974,0.06960443197749555,0.04322367103304714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,1,2,0.0,0.0,0.03322182009066038,0.0,0.0,0.0,0.295023600583698,1.650812398370812,0.9380151432948144,0.01681443696789553,16.814436967895528,1581.5633661337758,0.37628983296775653,1.9131757125043338,1.3462633640156128,0.047329604043625295,1.2157284979475662,0.1325703058973886,7.0,0.0,19.726835358688444,1.2157284979475662,0.0,1.421241283416748,0.0
YFLOW_MAIN_PORT,1,2,0.0,0.0,0.019285941552731334,0.0,0.0,0.0,0.1791443705297852,1.5908351981310866,0.9335768791591769,0.02283775119555672,22.83775119555672,633.385569391032,0.3307629011281251,1.9404504772373887,0.46501632599392906,0.04463749600108713,0.3692687199800275,0.039419376000296324,3.0,0.0,3.472132539345665,0.3692687199800275,0.0,1.1202366352081299,0.0
HYBRID_LATE_DAMPED,1,2,0.0,0.0,0.03368950276191679,0.0,0.0,0.0,0.32678028698595574,1.7667347281647992,0.9535339110378956,0.01707708656659943,17.07708656659943,1773.6528038761762,0.22115746188777285,1.8821996005633852,0.4733969059889205,0.04483826394425705,0.37651045102393255,0.04131257301196456,3.0,0.0,3.613104714733586,0.37651045102393255,0.0,0.6285600066184998,0.0
HYBRID_LATE_ADAPTIVE,1,2,0.0,0.0,0.02619891139975633,0.0,0.0,0.0,0.45847589384468723,2.159455906286488,1.082739248310581,0.03633851585400519,36.338515854005195,6852.020011776162,0.1193036728529148,1.7877886258744007,0.37783298501744866,0.04535617714282125,0.2882397429202683,0.03141418698942289,2.0,0.0,2.560395187977394,0.2882397429202683,0.011266462912317365,0.12403740733861923,0.0
ADAPTIVE_ALLTIME_L05,1,2,0.0,0.0,0.026430176690463936,0.0,0.0,0.0,0.4536754395910936,2.1511689038106057,1.0761863012073185,0.03598771114311196,35.98771114311196,6881.763647649543,0.11504874068192358,1.772442124802797,1.1522180320462212,0.04743522795615718,1.0278448390308768,0.1120986650348641,6.0,0.0,15.988907349585922,1.0278448390308768,0.02602864900836721,0.1346733123064041,0.0
PLAIN_FM,1,3,0.0,0.0,0.02683456136772272,0.0,0.0,0.841413140296936,0.44957279424024976,2.2087819723976843,1.10537090273446,0.04532112220799921,45.32112220799921,10097.702442013182,0.1152251896274185,1.7465013863692178,0.06897966604446992,0.042625550006050617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,1,3,0.0,0.0,0.03338700059667549,0.0,0.0,0.0,0.3236088617084879,1.4366311082383514,0.8581774497443109,0.01460099553805283,14.600995538052832,2278.0190996512406,0.4343417768663123,2.190323010011042,1.0596289369859733,0.04777547693811357,0.930226008000318,0.10184519994072616,7.0,0.0,17.36466478384528,0.930226008000318,0.0,1.7136812210083008,0.0
YFLOW_MAIN_PORT,1,3,0.0,0.0,0.01848106988860264,0.0,0.0,0.0,0.14084548147141537,1.5332293780594823,0.9278234552495335,0.019618521739790437,19.618521739790438,504.92193803668846,0.3543833831058847,1.9185657530455724,0.3773273130063899,0.046126282948534936,0.28021277202060446,0.03170312405563891,3.0,0.0,3.323329928466141,0.28021277202060446,0.0,1.1315158605575562,0.0
HYBRID_LATE_DAMPED,1,3,0.0,0.0,0.03389268461346945,0.0,0.0,0.0,0.31186766284871387,1.7814948157056467,0.9698550327026652,0.01864894346696895,18.64894346696895,2440.820640339916,0.2368961031920925,1.8343767946054985,0.3789324329700321,0.04619699501199648,0.2813545500393957,0.03206001303624362,3.0,0.0,3.3398393564963156,0.2813545500393957,0.0,0.5958401560783386,0.0
HYBRID_LATE_ADAPTIVE,1,3,0.0,0.0,0.03389268461346945,0.0,0.0,0.0,0.31186766284871387,1.7814948157056467,0.9698550327026652,0.01864894346696895,18.64894346696895,2440.820640339916,0.2368961031920925,1.8343767946054985,0.37751360703259706,0.04622411704622209,0.2802481920225546,0.03154739900492132,3.0,0.0,3.339839356496398,0.2802481920225546,0.010887832031585276,0.5958401560783386,0.0
ADAPTIVE_ALLTIME_L05,1,3,0.0,0.0,0.03366032266311142,0.0,0.0,0.0,0.2936493893632359,1.7862599746434065,0.9781542799849097,0.01892623000459108,18.926230004591083,2382.2287438246394,0.24306500617202564,1.827608108416966,1.0713532820227556,0.051164610020350665,0.9354105599923059,0.10493052494712174,7.0,0.0,11.231834061341356,0.9354105599923059,0.025593900005333126,0.6220046281814575,0.0
PLAIN_FM,1,4,0.0,0.0,0.026051634530154855,0.0,0.0,0.5685862898826599,0.45465467611523364,2.206880576482378,1.1175605637776578,0.0370068479919138,37.0068479919138,6615.22641706326,0.12286460729901466,1.7868849240157116,0.07010340498527512,0.043868127977475524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,1,4,0.0,0.0,0.02899323736070057,0.0,0.0,0.0,0.2899450402067201,1.638613974674577,0.9525329745374407,0.0159722312852546,15.972231285254601,1383.1160089216032,0.3831020770870483,1.9666462938436138,1.431936767010484,0.04902684595435858,1.3017129601212218,0.14307095803087577,7.0,0.0,17.48766925908814,1.3017129601212218,0.0,1.358836054801941,0.0
