method,task_id,seed,flow_step,t,projection_target,velocity_norm,endpoint_total_violation,endpoint_min_clearance,endpoint_goal_error,projection_called,solver_success,solver_runtime_sec,projection_total_runtime_sec,projection_correction_norm,projection_objective,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,solver_iterations,corridor_collision_count
POV_ENDPOINT_PROJECTION,1,23,1,0.14285714285714285,predicted_endpoint,14.978083610534668,5.959506034851074,0.024551552770626983,0.448022677592122,1.0,1.0,0.1141304059419781,1.0316359919961542,2.913587686832449,8.488993208861661,0.024551552770626983,0.030825600613526905,5.959506034851074,0.0,,11,0
POV_ENDPOINT_PROJECTION,1,23,2,0.2857142857142857,predicted_endpoint,15.43801212310791,4.617066383361816,0.023963139081594365,0.45523628775002767,1.0,1.0,0.08047846704721451,0.7525136159965768,1.9836185234737647,3.9347424466682384,0.023963139081594365,0.04126426042869907,4.617066383361816,0.0,,8,2
POV_ENDPOINT_PROJECTION,1,23,3,0.42857142857142855,predicted_endpoint,16.428451538085938,3.8105320930480957,0.025046035266766242,0.4610780231884559,1.0,1.0,0.09868730400921777,0.9364988940069452,3.547797402898533,12.586866412013576,0.025046035266766242,0.014289506361753496,3.8105320930480957,0.003298845377415649,,10,0
POV_ENDPOINT_PROJECTION,1,23,4,0.5714285714285714,predicted_endpoint,18.877567291259766,4.674978256225586,0.027293717880394197,0.45928347192892705,1.0,1.0,0.09021089604357257,0.8407821310102008,2.3373311606009737,5.463116954316294,0.027293717880394197,0.012584399308328623,4.674978256225586,0.0,,9,0
POV_ENDPOINT_PROJECTION,1,23,5,0.7142857142857143,predicted_endpoint,23.41570281982422,12.951066654586793,0.026576622734841127,0.47746310951621657,1.0,0.0,0.12738855101633817,1.1245156910154037,2.2290013478882593,4.9684470088876775,0.026576622734841127,0.019638836212949567,12.951066654586793,4.2705344580355105,"Acados projection did not converge: status=0, max_slack=0.381256, finite=True",12,0
POV_ENDPOINT_PROJECTION,1,23,6,0.8571428571428571,predicted_endpoint,32.478275299072266,38.730519317172714,-0.002218525527666701,0.5883441259813863,1.0,0.0,0.12475206988165155,1.1288800090551376,3.048960319697403,9.296159031089289,-0.002218525527666701,-0.00241344995461637,38.730519317172714,9.640348584317625,"Acados projection did not converge: status=0, max_slack=0.060824, finite=True",12,0
PLAIN_FM,1,24,0,0.0,none,15.606695175170898,7.89363042678833,0.031752314209832544,0.4739643812205244,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,24,1,0.14285714285714285,none,15.517801284790039,4.587417542934418,0.03180317374546765,0.4651440747576402,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,24,2,0.2857142857142857,none,15.498847007751465,2.4200212955474854,0.031395979009420316,0.4628931397408528,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,24,3,0.42857142857142855,none,15.48265266418457,1.7124605178833008,0.030527211564293777,0.46251487564497745,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
